company,invoice_num,invoice_date,operation_date,amount,reporter,notes,status,kind
"Monterail, Inc.",M83187,11/05/2012,10/27/2012,12012.37,Gene Sawayn II,Sint culpa non.,accepted,Important
 SB Komputery,S58840,18-08-2014,12-08-2014,11673.93,Cathrine Dare DDS,Dolorem illum dolores velit tempore nisi.,other,Client;negligible;delegation;important;Other
KT Koty,K20067,02/18/2015,02/11/2015,12623.81,Raphael Marquardt,Et eligendi maxime est perferendis impedit.,other,delegation;important;Negligible;other
Wesoła Gżegżółka,W15970,2015-01-08,2015-01-08,14197.54,Jairo Bergnaum,Dolores magnam ratione.,rejected,other;internal;Client;important;delegation
 ACME,A67235,09/03/2014,09/02/2014,14253.18,Terrell Wilkinson,Et laboriosam nam amet consequatur autem ratione quasi.,other,important;negligible;delegation;other
 Big Company 1,B86977,10/16/2014,10/16/2014,12124.54,Sean Bayer,Dicta sit doloremque error aut qui sunt voluptatum.,accepted,delegation;other
 SB Komputery,S97988,01/10/2015,01/06/2015,16819.21,Larue Zieme,"Voluptatem voluptas odit cumque distinctio inventore.
Voluptatum hic nisi ipsam totam sequi fugit.",accepted,Important;delegation;internal;other
 Big Company 1,B3811,09/02/2014,08/25/2014,10805.46,Hollie Trantow,"Perferendis occaecati quae adipisci tempora rem.
Quis similique alias rerum ratione.
Cupiditate ratione eos.",rejected,
 MS Szpadel,M75334,2015-02-12,2015-02-05,11299.14,Hannah Langosh,Non omnis optio laboriosam animi qui.,accepted,important
KT Koty,K239,09/23/2014,09/21/2014,19957.49,Destiny Lang,Sed sint praesentium velit.,rejected,delegation
SB Komputery,S86815,2014-06-18,2014-06-15,12084.43,Elbert Hauck,"Aspernatur maiores id eius est sit.
Enim iste eaque autem.
Dolorem qui quasi qui qui architecto.",rejected,internal;Negligible;other
Microsoft,M45949,2013-09-04,2013-09-02,16356.6,Justus Cruickshank,Velit quis natus ullam sapiente nisi.,rejected,client;Other;delegation
Ostrzy Entertainment,O85035,08/19/2013,08/17/2013,11504.87,Marcos Weber,Ipsam et ducimus tempora ut qui et minima.,accepted,other;Negligible;Delegation;client;important
 ACME,A21557,2014-03-04,2014-03-03,15964.55,Titus Kessler,Vero adipisci dolore architecto quae non accusamus.,accepted,Important;Internal;client;Other
 TT Internet,T44509,10/10/2014,10/10/2014,12145.21,Murphy McGlynn,Assumenda et voluptatum rerum iusto pariatur atque.,accepted,
 Wesoła Gżegżółka,W2103,2014-12-22,2014-12-14,14971.63,Benedict Senger,Consequuntur reprehenderit omnis repudiandae nihil consectetur et.,accepted,client;Internal;negligible
TT Internet,T28248,05/18/2013,05/09/2013,16076.83,Taya Gutkowski,Et fuga velit dolore neque similique.,accepted,important
 Big Company 1,B16489,05/16/2013,05/12/2013,18805.82,Dr. Alysha Auer,Culpa rerum reprehenderit natus quia animi non voluptatibus.,rejected,
 Company X,C60591,04/04/2014,03/26/2014,10264.95,Josiah Hintz,Aut voluptatem a dolorem ducimus molestiae velit sequi.,accepted,Important;internal
Big Company 1,B31154,2013-05-11,2013-05-04,11530.93,Clifton Doyle,Qui corrupti voluptas odit blanditiis quo.,rejected,delegation;internal;negligible;Other
BP Biznes,B73486,2015-05-06,2015-04-29,14204.73,Mr. Cecil Hayes,"Itaque quibusdam fuga perferendis quos autem in accusamus.
Maiores eligendi voluptatem ex.",accepted,negligible;Other;delegation
 SB Komputery,S54779,03/20/2014,03/20/2014,17406.94,Charlene Kohler,Debitis est sint cupiditate dolores.,accepted,Negligible
 Ostrzy Entertainment,O75803,05-08-2013,28-07-2013,14849.50,Jewell Glover,"Similique dolores et eaque corporis veritatis.
Ullam qui adipisci aut autem dolor.",other,Internal;Other;Delegation;client;negligible
 Company X,C80563,2013-02-15,2013-02-13,16633.61,Nelson Ward,Debitis laudantium voluptas.,accepted,
BP Biznes,B73500,2014-08-26,2014-08-25,18733.78,Ken Hirthe,Ut eos nobis.,rejected,internal;delegation;Other;important;client
Big Company 1,B93991,14-07-2014,07-07-2014,12842.66,Caroline Paucek,Aut eius repellat et neque ex voluptatem.,rejected,other;Internal
 TT Internet,T93704,2015-01-14,2015-01-14,10932.24,Carli O'Conner,Aliquam voluptatem quia debitis soluta et maxime eos.,rejected,delegation
Comcast,C61204,07/21/2014,07/13/2014,10402.53,Sylvester Kuhic,"Corporis amet beatae eos quas.
Et laborum sunt.
Qui iusto earum delectus accusamus ipsa dolorem hic.",rejected,client;negligible;Delegation
 ACME,A18583,2013-10-11,2013-10-08,15345.42,Derick O'Hara,"Pariatur aperiam non aut ut suscipit.
Et doloribus est sit aspernatur maxime sequi.
In eos in provident doloribus.
Ut error non dolores fugit reprehenderit.",other,internal
Comcast,C94768,2014-03-19,2014-03-19,10336.64,Jerrod Oberbrunner,Et et porro modi.,other,important;other;negligible;client;internal
 Wesoła Gżegżółka,W43352,2013-02-17,2013-02-14,17468.15,Jerry Ward,Molestiae similique consectetur dolores ea aut temporibus.,other,important
Comcast,C76668,24-07-2013,23-07-2013,14521.7,Aiyana Hayes,Qui quia eos repellendus placeat.,rejected,delegation;negligible;internal;Other;important
MS Szpadel,M67637,09-01-2013,09-01-2013,15925.46,Sonny Kuphal,Non ut sed libero commodi animi sapiente.,other,other;negligible;important;delegation
KT Koty,K36158,18-11-2014,10-11-2014,18413.94,Eliza Parker,Ex animi autem earum minus ut labore possimus.,accepted,negligible;other;Internal
TT Internet,T16078,02/06/2013,02/04/2013,12378.0,Domenico Wisoky,Dicta qui iste aut vero sed.,other,delegation;client;Other
 BP Biznes,B41398,06/16/2013,06/08/2013,17462.28,Jannie Kutch,Aspernatur voluptas quisquam reprehenderit a ea.,other,important
Ostrzy Entertainment,O76398,2013-07-20,2013-07-16,10408.96,Mr. Rosie Larson,Qui praesentium voluptatem.,rejected,client;other;Internal;important
 Microsoft,M95637,2012-12-21,2012-12-16,19383.44,Adelle Torphy,Error beatae libero.,other,other;Client;important;Delegation
Microsoft,M59729,07/13/2014,07/04/2014,18400.76,Bridget Moore,Voluptatem molestiae totam.,other,client;delegation
 Big Company 1,B21658,03/04/2015,02/25/2015,16603.10,Lewis Schultz,"Atque maiores rem maxime sequi laboriosam.
Aut et tempore sapiente possimus tempora.
Mollitia magnam blanditiis corrupti delectus expedita qui.",accepted,delegation;important;negligible;internal
Big Company 1,B18849,22-04-2014,19-04-2014,18373.14,Joany Stamm,Nostrum et voluptatem eos.,accepted,client
 Big Company 1,B47472,10/24/2014,10/15/2014,15475.70,Shawn Bradtke,Voluptatum voluptate voluptatem rerum quidem dolor libero nisi.,other,other;internal;delegation;Important;Negligible
 Comcast,C16812,12/20/2014,12/19/2014,12272.99,Ms. Alice Stracke,Autem dicta ullam nesciunt.,other,Other;Negligible;delegation
 BP Biznes,B6483,2014-01-04,2013-12-31,14255.64,Marcelino Ward,"Repellendus doloribus iste.
Dolore qui debitis aut voluptas.",rejected,Important
 SB Komputery,S56989,2014-03-30,2014-03-26,10217.15,Carlo Mohr,Cupiditate alias dolorum.,rejected,negligible;client;Delegation;other
 BP Biznes,B70814,2014-10-28,2014-10-20,17799.9,Marilie Gutmann,Sed dolor aut animi maiores.,accepted,client;important;negligible;delegation
 TT Internet,T34024,01/10/2013,01/03/2013,11479.11,Genesis Pfeffer,"Odio molestiae accusantium.
Modi sed enim reiciendis provident quae ab quis.
Commodi blanditiis tempora aut et ut.",other,other;client;Important;Internal;negligible
TT Internet,T9189,19-09-2012,17-09-2012,15964.9,Mr. Allene Will,Consequatur in pariatur ad quia animi ipsam voluptatum.,other,
"Monterail, Inc.",M72729,09/10/2012,09/01/2012,18658.27,Alessandro Green,,other,client;Negligible;internal
ACME,A31187,06/09/2014,06/01/2014,12831.67,Delbert Howell,Molestias et aut mollitia.,rejected,
Wesoła Gżegżółka,W92539,01-02-2014,26-01-2014,15738.47,Efrain Terry Sr.,"Voluptatem inventore fugiat beatae delectus.
Exercitationem dolor voluptatibus ut repudiandae.
Beatae debitis accusamus aut voluptatem minus.",rejected,Internal;delegation
 Microsoft,M42495,02/12/2015,02/09/2015,12473.46,Parker Considine,Qui ipsa cupiditate aliquid commodi.,accepted,client;internal;Other;negligible
Ostrzy Entertainment,O16697,11/16/2013,11/13/2013,18670.95,Elinor Lueilwitz,Corporis quo velit.,accepted,important;Negligible;Internal;client;delegation
" Monterail, Inc.",M29559,2013-04-11,2013-04-03,19164.68,Selina Steuber,Explicabo reprehenderit vitae sit cum sed ex consequatur.,rejected,client;negligible
"Monterail, Inc.",M76513,2013-04-05,2013-03-31,14286.61,Viviane Bartoletti,Explicabo pariatur ipsam consequatur.,rejected,negligible
 Microsoft,M91771,01-09-2013,30-08-2013,17742.29,Keaton Parker PhD,"Nemo ea rerum libero qui.
Ab velit rerum voluptates dolor nesciunt a cumque.
Omnis accusamus fugit ex in voluptatem velit et.",other,internal
KT Koty,K74219,2013-09-02,2013-09-02,10065.11,Dr. Narciso Sporer,Qui aut voluptas voluptas tempora eos omnis quam.,other,Client;internal
 Company X,C42040,2013-02-23,2013-02-16,14425.68,Alfred Williamson III,Blanditiis dolores nobis officiis et.,accepted,
 BP Biznes,B74057,04/30/2015,04/21/2015,18970.32,Nils Morissette,Assumenda praesentium sunt sed cupiditate voluptatem ut reiciendis.,other,Important;other
 SB Komputery,S178,08/27/2014,08/26/2014,18240.16,Jeramie Armstrong II,"Accusamus itaque rerum ducimus ratione qui ex qui.
Et ipsam temporibus ut.",accepted,Other;delegation;Client;important;negligible
BP Biznes,B51541,24-06-2014,22-06-2014,13373.8,Daphney Koss,Nostrum alias itaque nisi.,accepted,
 Microsoft,M46099,05/18/2013,05/09/2013,12247.29,Shanie Nitzsche,Ullam libero sint atque placeat ea.,accepted,
Big Company 1,B75026,01/24/2015,01/21/2015,16675.44,Dr. Brayan Fritsch,Inventore deleniti accusantium voluptates in.,rejected,Other;delegation;client
 SB Komputery,S14622,2014-05-12,2014-05-09,14380.49,Candelario Ullrich,Quia veritatis et ea laboriosam eum aliquam.,rejected,Negligible;client
 Microsoft,M46724,13-04-2013,13-04-2013,18350.15,Larry Bins Sr.,"Doloribus ad quod excepturi temporibus.
Eos voluptates qui autem facilis voluptas consequatur.
Et deleniti ratione.
Et ipsum quisquam sunt molestias cumque quo ad.",rejected,delegation;important;negligible;other;client
 Comcast,C92506,10/22/2014,10/20/2014,18978.78,Paula Goldner,Similique dolorem sit sed.,other,negligible;internal;client
ACME,A82865,09-10-2014,04-10-2014,17726.43,Elouise Stroman,Commodi et et atque tempora voluptatem quod.,accepted,delegation;other;important;internal
" Monterail, Inc.",M62652,01/05/2015,12/30/2014,17346.49,Twila Kuhic,Accusantium quasi ipsam sint in iste nam at.,other,Internal;client;important
Wesoła Gżegżółka,W22502,11/15/2013,11/09/2013,16708.2,Jaycee Crooks,"Quaerat quia harum.
Temporibus consectetur ut ullam suscipit vel.
Molestias sit ducimus non dicta voluptatibus quod.",other,other
 TT Internet,T53079,20-10-2013,18-10-2013,12012.60,Eleazar Gulgowski,Quia ea iusto impedit exercitationem.,rejected,client;Negligible;delegation;Internal
 Ostrzy Entertainment,O6619,2015-05-24,2015-05-18,,Ralph Crooks,Distinctio quaerat et voluptas esse.,rejected,Important;delegation;Other;client;internal
Comcast,C1278,09/25/2014,09/23/2014,15715.50,Lance Tillman PhD,Occaecati id harum.,rejected,Internal;delegation;client
"Monterail, Inc.",M89883,15-08-2013,11-08-2013,17112.22,Kitty Gottlieb V,Ut quia numquam quia dolor est assumenda.,rejected,Client;negligible
ACME,A51986,11-07-2013,08-07-2013,14150.7,Elvis Bogan PhD,Porro quia necessitatibus aut harum distinctio rerum.,other,other;client;internal;delegation
KT Koty,K67430,12/16/2014,12/09/2014,19446.90,Dan Grady,Est quis ullam quam ut.,rejected,Client
MS Szpadel,M41777,08/17/2013,08/10/2013,18663.29,Prudence Ortiz,Quasi ex voluptatem mollitia rerum voluptas inventore rerum.,other,negligible;important
 SB Komputery,S1538,05/12/2014,05/04/2014,16095.90,Israel Romaguera,Autem corrupti cumque non saepe soluta.,other,internal;client;Delegation;Negligible;other
TT Internet,T63873,01/11/2014,01/03/2014,14278.10,Savanah Batz III,Ex veritatis voluptatum atque eos est eius sit.,accepted,important
BP Biznes,B1944,06-12-2012,03-12-2012,16250.9,Zechariah Denesik Sr.,Eveniet amet ratione sit ut blanditiis.,rejected,client;negligible;important
BP Biznes,B79013,2013-05-20,2013-05-20,14241.93,Brock Hoeger,"Est nihil ullam tempore aut nisi est.
Dolores commodi modi vitae tempora blanditiis quis.
Necessitatibus alias tempore.
Aut doloribus voluptas adipisci sint minus soluta.",accepted,Client;important;other;delegation;internal
ACME,A67184,2013-07-17,2013-07-14,11872.92,Wilhelmine Schinner,"Sunt nihil adipisci animi placeat ad consequatur molestiae.
Laborum repellat eius.
Et in eos voluptatem.",accepted,internal
 Microsoft,M97682,2014-11-05,2014-10-30,19277.35,Eliza Schuster,"Doloremque sapiente aliquid maxime nam autem.
Illo debitis ut praesentium maxime sit sunt sequi.",rejected,client;internal;Negligible;Other
"Monterail, Inc.",M432,25-06-2013,22-06-2013,11744.48,Jimmy Nader PhD,Et impedit amet suscipit.,other,other;Internal;Client;Important
 MS Szpadel,M73879,22-03-2013,20-03-2013,17712.2,Maurine Schoen,Cupiditate est esse est quasi quae.,rejected,
 Microsoft,M74990,2013-10-06,2013-10-02,17759.19,Kailee Dietrich,Impedit dolore consequatur nisi.,other,client;negligible;internal
Comcast,C834,08-08-2014,04-08-2014,16764.59,Macie Bode,Alias ex ipsam eos qui est.,rejected,other;internal;important;Negligible;Delegation
 Company X,C87328,26-08-2014,18-08-2014,17318.46,Quinten Quitzon PhD,Omnis omnis vel architecto.,rejected,
 ACME,A10869,2013-09-20,2013-09-13,10617.22,Reilly Glover,"Vitae rerum sunt dolor magni nulla architecto illum.
Laudantium libero blanditiis quis.
Rem soluta beatae sed impedit quos quasi.
Nobis suscipit voluptate.",rejected,client;internal;important;delegation;Negligible
"Monterail, Inc.",M61796,02/08/2013,02/08/2013,13655.14,Evalyn Jacobs,Perspiciatis eos provident et harum.,rejected,Other;internal;negligible
" Monterail, Inc.",M54424,07/03/2014,06/30/2014,11228.59,Devonte Windler,Necessitatibus qui at eos omnis et.,other,Internal;client;Negligible;Other;important
MS Szpadel,M72830,2014-11-20,2014-11-18,15763.3,Raegan Veum,Unde cum sed quo reprehenderit perferendis optio.,other,
 Big Company 1,B93318,03/04/2013,02/27/2013,19716.99,Kip Feest II,"Ea aut et modi.
Quia modi ullam dolorum dignissimos repudiandae ut molestiae.
Dolorum aut dolorem.
Officia rerum ut.",other,other;delegation;internal;negligible
 BP Biznes,B34548,02-01-2013,02-01-2013,11490.38,Elijah Sawayn,Ex et velit sint voluptas culpa reiciendis deleniti.,accepted,internal
TT Internet,T93976,02/04/2014,01/26/2014,19511.69,Novella McKenzie,Voluptatem quod saepe.,other,internal;Negligible
Comcast,C11763,27-10-2012,20-10-2012,10197.60,Mrs. Kyla Schmeler,Impedit occaecati perspiciatis magnam et.,rejected,negligible;other;Internal
 Company X,C5756,02/22/2014,02/19/2014,11132.57,Rosalia Renner,"Aut eaque itaque eum in rerum labore.
Dolor distinctio qui autem est consequuntur est.
Occaecati consequuntur dignissimos omnis alias velit a quia.",other,Delegation
Big Company 1,B59466,11/21/2013,11/18/2013,12190.75,Tyler Windler,Aut distinctio laudantium nisi et similique.,accepted,important
 BP Biznes,B55358,06-06-2014,05-06-2014,16883.86,Mrs. Eusebio Huels,Eligendi voluptas expedita nulla incidunt molestias voluptatem.,other,Negligible;client
Comcast,C86648,30-11-2014,21-11-2014,19079.26,Porter Pacocha,Facilis voluptatem et soluta quia eos incidunt.,accepted,important
TT Internet,T68893,11/09/2014,11/08/2014,12351.64,Rex Gorczany,Debitis explicabo autem quam.,other,negligible;Important;Client
 SB Komputery,S69904,08-02-2015,05-02-2015,16513.73,Forrest Jerde,Praesentium officia veniam nemo aspernatur.,other,internal;Negligible
 Comcast,C61761,11/04/2012,10/27/2012,13439.81,Althea Schultz,Qui non placeat reprehenderit non at.,accepted,delegation;other;Internal;client;important
 KT Koty,K94820,2013-06-27,2013-06-26,14810.5,Hailie Kub DVM,"Sunt ut accusantium ea.
Eos non aperiam.",other,delegation;other;Client;negligible;Internal
BP Biznes,B93332,04/08/2015,04/08/2015,17567.77,Zoila Murphy,Magnam amet enim quibusdam.,rejected,internal
 BP Biznes,B74134,2012-09-17,2012-09-12,10560.19,Geovany Mohr,"Aut vel rerum aut magni non.
Sit error sint et eveniet perferendis.
Cum libero et eum.",rejected,Delegation;negligible
BP Biznes,B96405,2013-12-16,2013-12-11,14484.0,Modesto Mraz,Nobis sint dolorem ab nihil voluptatem consequatur velit.,other,important;delegation;other
Wesoła Gżegżółka,W30417,10/11/2014,10/07/2014,14405.41,David VonRueden,"Repudiandae voluptas deleniti autem libero eligendi cupiditate.
Alias consequuntur debitis doloremque illum fuga velit.",other,other
 TT Internet,T63182,2013-04-15,2013-04-08,14365.90,Rebecca Kilback,"Harum et qui quo ducimus quas.
Delectus odit exercitationem officia perspiciatis blanditiis quasi.
Dolore totam tenetur corrupti quod neque.",other,delegation;client;Other
Company X,C83886,27-05-2013,21-05-2013,17842.7,Trent Altenwerth,Earum natus saepe omnis ducimus nam qui recusandae.,other,other;important
" Monterail, Inc.",M82659,10-11-2013,05-11-2013,18217.23,Jeanette Marvin,Similique rerum veritatis nihil.,rejected,
 MS Szpadel,M96971,2012-12-04,2012-11-30,18326.99,Hollie Mann IV,"Esse deleniti odio repudiandae voluptatem.
Ea harum voluptate vitae exercitationem ea.
Dolorem dolores animi fugit ea accusamus ipsam.
Velit qui pariatur doloremque asperiores atque nobis sed.",accepted,Client;Negligible;other;Delegation
 Ostrzy Entertainment,O4933,12/06/2014,12/01/2014,11821.80,Domenico Jenkins,Earum quia vel ipsum reiciendis.,accepted,
" Monterail, Inc.",M42691,03/22/2015,03/13/2015,19953.77,Katharina Hamill IV,Dolores aspernatur sit quia quia omnis repudiandae ea.,rejected,negligible;Other;internal;important
 TT Internet,T7613,04-11-2012,30-10-2012,11334.32,Rickey Christiansen,"Explicabo officia ex.
Voluptates velit quas asperiores rem tenetur et.
Laborum natus perspiciatis.",accepted,other;internal;important;delegation
 MS Szpadel,M45502,01/05/2013,12/27/2012,13428.87,Ronny Watsica,Excepturi consequuntur dolores omnis quas ut nemo.,rejected,
Comcast,C27660,20-10-2013,19-10-2013,16111.89,Erna Douglas II,Exercitationem consequuntur corporis adipisci repellat provident rerum et.,rejected,important;negligible;delegation;other;client
Ostrzy Entertainment,O91161,05/04/2014,04/28/2014,15665.71,Lorena Volkman,Rem veritatis non error quaerat fugit provident.,other,delegation;important
 Ostrzy Entertainment,O97780,01-02-2015,27-01-2015,13167.7,Mr. Kristian Kovacek,Sequi pariatur molestiae laudantium expedita ea facere.,other,
 Wesoła Gżegżółka,W22342,2013-04-16,2013-04-11,10535.75,Ms. Emilia Quitzon,Dolor aut ad iusto laboriosam asperiores neque alias.,other,client;delegation;Internal
Company X,C44164,05/09/2015,05/06/2015,14889.94,Frederik White,Corporis quia est totam.,rejected,delegation
 KT Koty,K18378,09/16/2013,09/12/2013,19561.28,Andre Crist Jr.,Praesentium eos dolore animi rem minus magnam.,rejected,client;internal
 Company X,C32290,08/01/2013,07/23/2013,16019.21,Dr. Aaron Veum,In eum esse minima qui.,rejected,
 KT Koty,K62022,18-03-2015,12-03-2015,19226.42,Miss Ruthe Bradtke,Nulla praesentium vero facere quas est rerum quia.,accepted,Negligible
BP Biznes,B48332,01/06/2015,01/05/2015,13639.59,Norbert Russel,Reprehenderit illum iusto quisquam suscipit quia autem.,other,Delegation;other;negligible;Client
BP Biznes,B70968,2013-01-02,2012-12-31,10340.28,Mrs. Mozell Wintheiser,"Aut ex qui amet.
Sit iure quam voluptas dignissimos maxime odit.
Necessitatibus possimus asperiores debitis ab.",accepted,important;internal;client;Delegation
 KT Koty,K87568,27-09-2014,23-09-2014,10398.52,Helga Borer,Cumque possimus dolorem dolores quo totam consectetur.,other,Other;Delegation;Client;negligible
TT Internet,T6793,05/06/2014,04/29/2014,11623.51,Dr. Ines Lesch,"Nulla eum dolor repudiandae tenetur quia et saepe.
At maxime consectetur illo voluptatem non accusantium.
Aut veritatis sed non qui et officia.
Deserunt iusto est a error qui.",,other;Internal;client
 Ostrzy Entertainment,O68522,2013-09-11,2013-09-05,13295.95,Mrs. Esther Kutch,"Autem doloremque quo amet delectus perspiciatis doloribus omnis.
Sit voluptatem et.
Qui sint non odit nihil magni est vero.
Iure dolorum aspernatur blanditiis qui doloribus.",accepted,other;delegation;important;negligible
 BP Biznes,B47273,10/26/2014,10/19/2014,19100.74,Ardella Beer,"Quidem dolorem est.
Molestiae expedita ut enim non.",accepted,delegation;client;internal;negligible
 Company X,C23404,07/25/2013,07/23/2013,13021.32,Lawson Wehner,Facilis laborum eos voluptates consequatur.,other,
Company X,C66063,2015-02-10,2015-02-07,18855.9,Dr. Deondre Krajcik,Voluptas et esse occaecati.,other,important;client;negligible;internal
 Ostrzy Entertainment,O64123,2014-09-09,2014-09-09,16258.62,Eldridge Adams,Debitis amet in quo quia reiciendis molestiae.,rejected,Delegation;internal
 Microsoft,M3542,04/23/2015,04/18/2015,18877.54,Price Shanahan,Voluptas consequuntur in soluta non vel omnis et.,rejected,delegation;negligible;Other;internal;Important
ACME,A78302,10/02/2014,09/25/2014,16675.29,Mr. Bernadette Friesen,"Dolore explicabo minus aliquid natus maiores.
Porro quod et atque.
Odio itaque aliquam.",accepted,important;Internal;negligible
" Monterail, Inc.",M62147,10/03/2014,09/28/2014,14129.79,Orval Goyette,Qui hic ab nobis.,rejected,
 Big Company 1,B40569,2014-05-02,2014-04-29,10324.54,Astrid Lakin,Cupiditate minus molestiae et dolores.,accepted,client;important
 ACME,A25170,2015-03-06,2015-03-03,13951.68,Estell Mayer,Illo sint exercitationem repellat.,accepted,Important;Other;negligible
Company X,C14302,28-02-2013,27-02-2013,15102.88,Dr. Declan Breitenberg,Ab voluptatum rerum cumque quia.,rejected,Important;internal;client;Other;Delegation
 BP Biznes,B27656,03/24/2013,03/19/2013,14559.61,Rhianna Rosenbaum V,"Aut incidunt ut omnis consectetur.
Vel eaque natus impedit consequatur perferendis id expedita.
Asperiores et et veniam quia illum temporibus eligendi.
Molestias labore officia ratione mollitia.",accepted,delegation;Other
 SB Komputery,S40282,2014-01-26,2014-01-23,13539.51,Rey Heller,Ea provident repudiandae doloribus fuga ut non.,rejected,delegation
Company X,C63352,05-01-2013,02-01-2013,11187.86,Darby Greenfelder,Nisi voluptatem eligendi assumenda suscipit voluptas ea occaecati.,other,Client;Other;internal;delegation
 Big Company 1,B60411,11/06/2012,11/03/2012,13440.15,Osborne Langworth Sr.,Animi molestiae voluptatum.,accepted,internal;Negligible
TT Internet,T80941,2015-05-26,2015-05-22,17051.0,Carley Reilly,"Aut eaque maiores voluptates est.
Eos et rerum.",accepted,other;important;negligible;client
ACME,A1126,2013-04-11,2013-04-04,11318.10,Lorena Daniel IV,"Et assumenda sed repudiandae.
Molestiae pariatur id beatae voluptatibus ad.
Consequatur rerum nesciunt enim magni cupiditate.",accepted,negligible;delegation;Other
 Comcast,C7223,06/12/2014,06/08/2014,15307.46,Bernardo Pfannerstill,Nam dolorum voluptas.,other,
 ACME,A9735,06-03-2014,05-03-2014,12476.36,Nash Schaden,"Reprehenderit perferendis at ex dolorum dolor.
Nostrum neque quia.
Voluptatum odit quae vero voluptatem et inventore laboriosam.
Accusantium mollitia quia quae et autem.",accepted,important;Internal;other;negligible;Client
 Big Company 1,B2336,25-07-2014,20-07-2014,13412.65,Chandler Becker,Dolorem magni qui vero quaerat dolorem ut.,rejected,client;negligible;internal
 TT Internet,T6289,06-03-2013,28-02-2013,11690.84,Weldon Monahan,"Consectetur et qui nobis possimus saepe rerum sed.
Inventore unde ut porro suscipit quia dicta itaque.
Illo sed voluptas dolorem.",accepted,
 Microsoft,M90169,2014-11-15,2014-11-13,16977.80,Mrs. Brooke Bergstrom,"Quo et eius cumque magnam.
At explicabo odio culpa vitae.
Beatae et eaque et.",other,internal
 Big Company 1,B64924,07/20/2013,07/11/2013,11586.58,,"Fugiat et placeat fugit deserunt.
Doloribus eum est qui a veritatis.",accepted,delegation;internal;client;Other
 MS Szpadel,M57526,16-12-2013,08-12-2013,19578.91,Dr. Sydni Weimann,Eligendi et dolores aut sit ea.,accepted,negligible;Other
 SB Komputery,S99046,11-01-2015,07-01-2015,14470.63,Edythe Cummerata,"Quia sed autem et voluptates et.
Temporibus commodi eaque blanditiis magni neque.",accepted,negligible;client
SB Komputery,S51914,23-11-2012,23-11-2012,10826.88,Sabryna Kuvalis,Illum vel rem autem omnis reiciendis.,rejected,Important;delegation
 KT Koty,K95433,09/06/2013,08/31/2013,12578.54,Miss Royal Douglas,"Sunt molestias natus reprehenderit itaque nostrum voluptatibus sit.
Dolor laboriosam vero.
Quidem et numquam quasi.",accepted,important;Other
Wesoła Gżegżółka,W12232,2015-05-14,2015-05-14,19650.36,Zack Dickens,Unde consequuntur sequi ut incidunt officia.,accepted,client
 SB Komputery,S53626,2013-12-12,2013-12-08,13699.43,Hugh Larkin,Corrupti reiciendis dolore consequatur eligendi corporis incidunt.,rejected,client;Negligible
TT Internet,T73931,2014-07-19,2014-07-17,10353.31,Gina Brown,"Odit et possimus magnam ullam deleniti ratione.
Fugiat aspernatur et ducimus.
Odit iste non quis.
Sit eos sed veniam dolores deserunt totam.",other,Important;negligible
 Wesoła Gżegżółka,W28584,22-01-2014,16-01-2014,17148.8,Olaf Labadie V,Alias libero sed.,other,important
 Ostrzy Entertainment,O10941,25-06-2013,17-06-2013,19581.95,Jerrold Douglas,Quo accusamus velit ipsam occaecati.,other,internal;Client;important;negligible
 Ostrzy Entertainment,O82071,2012-09-19,2012-09-13,18794.99,Pamela Langosh I,In voluptatibus temporibus repudiandae assumenda ullam repellendus.,rejected,Delegation;other;Important;negligible
 TT Internet,T69309,01-12-2014,30-11-2014,16672.42,Isaac Zulauf,"Autem aut natus autem.
Doloribus sequi rerum ut tempora et quis.
Pariatur non assumenda ratione illo ab velit praesentium.
Fugit earum eum.",rejected,
 Wesoła Gżegżółka,W73610,03-05-2014,01-05-2014,14663.44,Kianna Pollich,"Dignissimos molestiae esse omnis.
Consequatur voluptatem iusto velit molestiae.
Veritatis provident libero et.",accepted,Delegation
 KT Koty,K50968,23-05-2015,21-05-2015,16465.16,Miller Wyman PhD,Cupiditate aliquam rerum natus rem provident.,other,Negligible;other
ACME,A3392,05/20/2015,05/19/2015,13625.49,Vada VonRueden,Et reiciendis quis quisquam aut.,other,client
 ACME,A92721,06-08-2013,29-07-2013,12808.1,Werner Purdy,Inventore et in.,rejected,internal;client;delegation;Important;other
"Monterail, Inc.",M19025,2015-03-02,2015-02-21,12854.23,Adah Purdy,"Earum illo tempora neque assumenda voluptatem et sed.
Labore doloremque corporis velit.",rejected,negligible;Client;Delegation
"Monterail, Inc.",M40427,2014-10-13,2014-10-13,16024.49,Arely Brakus,Ad possimus et consequatur.,accepted,
 Comcast,C19966,10/23/2014,10/23/2014,16502.23,Josiane Gottlieb,Excepturi omnis odit quod exercitationem.,rejected,client;Other;internal;delegation
Wesoła Gżegżółka,W8487,2013-01-04,2012-12-29,19245.89,Forrest Lubowitz,Magnam repellendus molestias eum officiis.,rejected,client
MS Szpadel,M11984,05-11-2013,04-11-2013,11953.31,Loren Funk,"Voluptates mollitia assumenda voluptatem quia illo.
Voluptatem nam enim debitis aut iure ex et.
Autem et sint et rerum.
Praesentium et aut culpa blanditiis est.",rejected,important;negligible;delegation;Other
 Microsoft,M34201,2013-12-01,2013-11-28,19885.22,Nya Blanda III,Tempora magnam rem repellendus consequuntur dolore minus.,rejected,delegation;Important;negligible;other;client
